start_sequence,bib_number,Name,Tap,start_tap,Bib tap,Category,Team name,crew_id
1,2,FSC,Start,58:40.04,,Op 2x Championship,FSC-DICKINSON,1073730
2,3,UTC,Start,58:57.73,,Op 2x Championship,UTC-FOSTER,1073233
3,4,MBC,Start,59:16.20,,Op 2x Championship,MBC-SALONNA,1074710
4,5,TSS,Start,59:38.83,,Op 2x Championship,TSS-PARNELL-2,1076621
5,6,CAB,Start,59:45.48,,Op 2x Championship,CAB-GOODE,1074473
6,7,CNN,Start,01:00:05,,Op 2x Championship,CNN-YOUNG,1074489
7,8,CNN,Start,01:00:18,,Op 2x Intermediate,CNN-WRIGHT,1074488
8,10,LER,Start,01:00:28,,Op 2x Intermediate,LER-BOWLES,1073625
9,11,STK,Start,01:00:33,,Op 2x Intermediate,STK-WARRINGTON,1076037
10,14,SNE,Start,01:00:41,,Op 2x Intermediate,SNE-WILLIAMS,1075578
11,15,IMP,Start,01:00:50,,Op 2x Intermediate,IMP-LEFLAIVE-MANLEY-2,1076122
12,16,VRC,Start,01:01:00,,Op 2x Intermediate,VRC-HERNANDEZ,1075977
13,17,IMP,Start,01:01:12,,Op 2x Intermediate,IMP-BENTLEY,1076124
